Date,observations (m),Observations minus predictions (m)
2023-08-13 12:44 PDT,1.454,
2023-08-13 12:43 PDT,1.453,
2023-08-13 12:42 PDT,1.441,
2023-08-13 12:41 PDT,1.44,
2023-08-13 12:40 PDT,1.439,
2023-08-13 12:39 PDT,1.43,
2023-08-13 12:38 PDT,1.418,
2023-08-13 12:37 PDT,1.414,
2023-08-13 12:36 PDT,1.397,
2023-08-13 12:35 PDT,1.386,
2023-08-13 12:34 PDT,1.386,
2023-08-13 12:33 PDT,1.371,
2023-08-13 12:32 PDT,1.366,
2023-08-13 12:31 PDT,1.358,
2023-08-13 12:30 PDT,1.345,
2023-08-13 12:29 PDT,1.336,
2023-08-13 12:28 PDT,1.335,
2023-08-13 12:27 PDT,1.323,
2023-08-13 12:26 PDT,1.316,
2023-08-13 12:25 PDT,1.305,
2023-08-13 12:24 PDT,1.293,
2023-08-13 12:23 PDT,1.284,
2023-08-13 12:22 PDT,1.28,
2023-08-13 12:21 PDT,1.272,
2023-08-13 12:20 PDT,1.259,
2023-08-13 12:19 PDT,1.247,
2023-08-13 12:18 PDT,1.239,
2023-08-13 12:17 PDT,1.234,
2023-08-13 12:16 PDT,1.227,
2023-08-13 12:15 PDT,1.214,
2023-08-13 12:14 PDT,1.203,
2023-08-13 12:13 PDT,1.198,
2023-08-13 12:12 PDT,1.185,
2023-08-13 12:11 PDT,1.182,
2023-08-13 12:10 PDT,1.17,
2023-08-13 12:09 PDT,1.151,
2023-08-13 12:08 PDT,1.155,
2023-08-13 12:07 PDT,1.144,
2023-08-13 12:06 PDT,1.141,
2023-08-13 12:05 PDT,1.134,
2023-08-13 12:04 PDT,1.121,
2023-08-13 12:03 PDT,1.112,
2023-08-13 12:02 PDT,1.101,
2023-08-13 12:01 PDT,1.099,
2023-08-13 12:00 PDT,1.086,
2023-08-13 11:59 PDT,1.077,
2023-08-13 11:58 PDT,1.083,
2023-08-13 11:57 PDT,1.071,
2023-08-13 11:56 PDT,1.062,
2023-08-13 11:55 PDT,1.058,
2023-08-13 11:54 PDT,1.043,
2023-08-13 11:53 PDT,1.042,
2023-08-13 11:52 PDT,1.038,
2023-08-13 11:51 PDT,1.026,
2023-08-13 11:50 PDT,1.02,
2023-08-13 11:49 PDT,1.018,
2023-08-13 11:48 PDT,1.012,
2023-08-13 11:47 PDT,1.009,
2023-08-13 11:46 PDT,0.997,
2023-08-13 11:45 PDT,0.99,
2023-08-13 11:44 PDT,0.986,
2023-08-13 11:43 PDT,0.986,
2023-08-13 11:42 PDT,0.977,
2023-08-13 11:41 PDT,0.98,
2023-08-13 11:40 PDT,0.97,
2023-08-13 11:39 PDT,0.97,
2023-08-13 11:38 PDT,0.958,
2023-08-13 11:37 PDT,0.951,
2023-08-13 11:36 PDT,0.943,
2023-08-13 11:35 PDT,0.946,
2023-08-13 11:34 PDT,0.943,
2023-08-13 11:33 PDT,0.937,
